"LegalEntityIdentifier","ShortCode","EnterpriseId","TableName","DeterminantType","MinimumDigits","Prefix","Suffix"
"","UK","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
"LE_152","","","PURCHASE_ORDER","SOLD_TO_LE","","CA152-",""
"","Squareup (UK) Ltd. (UK2) - 302","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","Cash App Taxes, Inc. (US) - 116","1","REQUISITION","REQUISITIONING_BU","","PR116-",""
"LE_116","","","PURCHASE_ORDER","SOLD_TO_LE","","US116-",""
"","Global Risk Engagement B.V. (TWN) - 215","1","REQUISITION","REQUISITIONING_BU","","PR215-",""
"317_LE","","","PURCHASE_ORDER","SOLD_TO_LE","","DE317-",""
"LE_341","","","PURCHASE_ORDER","SOLD_TO_LE","","PGSA341-",""
"","Pagantis, S.A. (French Branch) (FR) - 341","1","REQUISITION","REQUISITIONING_BU","","PR341-",""
"","Tidal sp. z o.o. (PL) - 322","1","REQUISITION","REQUISITIONING_BU","","PR322-",""
"LE_322","","","PURCHASE_ORDER","SOLD_TO_LE","","TDL322-",""
"LE_504","","","PURCHASE_ORDER","SOLD_TO_LE","","MX504-",""
"","Squareup Mexico, S. de R.L. de C.V. (MX) - 504","1","REQUISITION","REQUISITIONING_BU","","PR504-",""
"","Squareup International Limited, Succursale en France (IE) - 329","1","REQUISITION","REQUISITIONING_BU","","PR329-",""
"","Square Capital LLC (US) - 108","1","REQUISITION","REQUISITIONING_BU","","PR108-",""
"LE_103","","","PURCHASE_ORDER","SOLD_TO_LE","","US103-",""
"LE_108","","","PURCHASE_ORDER","SOLD_TO_LE","","US108-",""
"","Block, Inc. (US) - 101","1","REQUISITION","REQUISITIONING_BU","","PR101-",""
"","Square K.K. (JP) - 210","1","REQUISITION","REQUISITIONING_BU","","PR210-",""
"","Squareup (UK) Limited - 302","1","REQUISITION","REQUISITIONING_BU","","PR302-",""
"","Square AU Pty Ltd (AU) - 250","1","REQUISITION","REQUISITIONING_BU","","PR250-",""
"LE_163","","","PURCHASE_ORDER","SOLD_TO_LE","","US163-",""
"","Proto Global, LLC - 163","1","REQUISITION","REQUISITIONING_BU","","PR163-",""
"","Proto Global, LLC - 163","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
