"PER_LEGAL_EMPLOYER_ORG.OrganizationCode","PER_LEGAL_EMPLOYER_ORG.EffectiveStartDate","PER_LEGAL_EMPLOYER_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_340","0001/01/01","4712/12/31","Legal Employer","Pagantis, S.A. (Italian Branch)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Pagantis, S.A. (Italian Branch),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_IT","IT","A","","","","#null"
"LE_142","0001/01/01","4712/12/31","Legal Employer","Afterpay US Receivables Warehouse-C LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Receivables Warehouse-C LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_143","0001/01/01","4712/12/31","Legal Employer","Afterpay US Receivables Warehouse-GS LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Receivables Warehouse-GS LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_146","0001/01/01","4712/12/31","Legal Employer","Afterpay Receivables Warehouse-JPM LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Receivables Warehouse-JPM LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_262","0001/01/01","4712/12/31","Legal Employer","Touch Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touch Holdings Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_267","0001/01/01","4712/12/31","Legal Employer","Afterpay Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Holdings Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_205","0001/01/01","4712/12/31","Legal Employer","PT Empat Kali Indonesia","0001/01/01","4712/12/31","OrgUnitClassificationMigration","PT Empat Kali Indonesia,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","ID","A","","","","#null"
"LE_221","0001/01/01","4712/12/31","Legal Employer","Afterpay Information Technology Service (Shanghai) Co., Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Information Technology Service (Shanghai) Co., Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CN","CN","A","","","","#null"
"LE_331","0001/01/01","4712/12/31","Legal Employer","Clearpay (International) Finance Holding Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (International) Finance Holding Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_335","0001/01/01","4712/12/31","Legal Employer","Clearpay Finance Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Finance Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
