"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"FR315","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup (France) SAS","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup (France) SAS,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","FR","A","","","","#null"
"LE_0023","0001/01/01","4712/12/31","Payroll Statutory Unit","Snackskal AB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Snackskal AB,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SE","A","","","","#null"
"LE_0003","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup Pte. Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup Pte. Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SG","A","","","","#null"
"LE_311","0001/01/01","4712/12/31","Payroll Statutory Unit","Block Global B.V.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block Global B.V.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","NL","A","","","","#null"
"LE_113","0001/01/01","4712/12/31","Payroll Statutory Unit","Verse Technologies, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Verse Technologies, Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_314","0001/01/01","4712/12/31","Payroll Statutory Unit","Verse Payments Lithuania, UAB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Verse Payments Lithuania, UAB,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","LT","A","","","","#null"
"LE_313","0001/01/01","4712/12/31","Payroll Statutory Unit","Decentralized Global Payments, SL","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Decentralized Global Payments, SL,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","ES","A","","","","#null"
"LE_114","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Investing LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Investing LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_115","0001/01/01","4712/12/31","Payroll Statutory Unit","Stitch Labs, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Stitch Labs, Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_303","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup International Services Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup International Services Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"317_LE","2020/07/01","4712/12/31","Payroll Statutory Unit","Squareup GmbH","0001/01/01","2020/06/30","OrgUnitClassificationMigration","Squareup GmbH,Payroll Statutory Unit","0001/01/01","","","HCM_PSU","DE","I","","","","#null"
"317_LE","2020/07/01","4712/12/31","Payroll Statutory Unit","Squareup GmbH","2020/07/01","4712/12/31","OrgUnitClassificationMigration","Squareup GmbH,Payroll Statutory Unit","","4712/12/31","","HCM_PSU","DE","A","","","","#null"
"LE_117","0001/01/01","4712/12/31","Payroll Statutory Unit","Huinaha Reinsurance Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Huinaha Reinsurance Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_116","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Taxes, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Taxes, Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_304","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Innovation (UK) Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Innovation (UK) Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_318","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Capel (IE) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Capel (IE) Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_319","0001/01/01","4712/12/31","Payroll Statutory Unit","Cash App Innovation (IE) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Innovation (IE) Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_131","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Financial Services Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Financial Services Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_215","0001/01/01","4712/12/31","Payroll Statutory Unit","Global Risk Engagement B.V. (TWN)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Global Risk Engagement B.V. (TWN),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","TW","A","","","","#null"
"LE_118","0001/01/01","4712/12/31","Payroll Statutory Unit","Vandutch Acquisition Corp. (DE)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Vandutch Acquisition Corp. (DE),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_321","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal Music AS","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Music AS,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","NO","A","","","","#null"
"LE_323","0001/01/01","4712/12/31","Payroll Statutory Unit","WiMP Music GmbH","0001/01/01","4712/12/31","OrgUnitClassificationMigration","WiMP Music GmbH,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","DE","A","","","","#null"
"LE_324","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal US AB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal US AB,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SE","A","","","","#null"
"LE_120","0001/01/01","4712/12/31","Payroll Statutory Unit","Malibu Entertainment Inc.(US)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Malibu Entertainment Inc.(US),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_320","0001/01/01","4712/12/31","Payroll Statutory Unit","Aspiro AB","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Aspiro AB,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SE","A","","","","#null"
"LE_501","0001/01/01","4712/12/31","Payroll Statutory Unit","Project Panther Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Project Panther Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","KY","A","","","","#null"
"LE_503","0001/01/01","4712/12/31","Payroll Statutory Unit","Tidal Serviços de Entretenimento Ltda","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Tidal Serviços de Entretenimento Ltda,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","BR","A","","","","#null"
