"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","EffectiveStartDate","EffectiveEndDate","Name","Title","GUID","SourceLang","Language","ClassificationCode","ClassificationName","OrganizationCode","OrganizationId"
"LE_319","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B94EF0D85D95A6ABE053A062500A0E1B","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Innovation (IE) Limited","","B94EF0D85D95A6ABE053A062500A0E1B","US","US","HCM_PSU","","LE_319",""
"LE_131","0001/01/01","4712/12/31","OrganizationMigrationTranslation","BC2E47C0E7A38AF1E053A162500ADA08","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Financial Services Inc.","","BC2E47C0E7A38AF1E053A162500ADA08","US","US","HCM_PSU","","LE_131",""
"LE_215","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C3EB43521F962177E053A062500AC779","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Global Risk Engagement B.V. (TWN)","","C3EB43521F962177E053A062500AC779","US","US","HCM_PSU","","LE_215",""
"LE_118","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B94AD0B899C634E053A162500A596A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Vandutch Acquisition Corp. (DE)","","C8B94AD0B899C634E053A162500A596A","US","US","HCM_PSU","","LE_118",""
"LE_321","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B99CBB8CF4C3ACE053A162500AA696","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Music AS","","C8B99CBB8CF4C3ACE053A162500AA696","US","US","HCM_PSU","","LE_321",""
"LE_323","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B004CFD4E25FE053A062500AEE82","0001/01/01","4712/12/31","0001/01/01","4712/12/31","WiMP Music GmbH","","C8B9B004CFD4E25FE053A062500AEE82","US","US","HCM_PSU","","LE_323",""
"LE_324","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B004CFD9E25FE053A062500AEE82","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal US AB","","C8B9B004CFD9E25FE053A062500AEE82","US","US","HCM_PSU","","LE_324",""
"LE_120","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958C48ACCC5C4E053A162500A91B4","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Malibu Entertainment Inc.(US)","","C8B958C48ACCC5C4E053A162500A91B4","US","US","HCM_PSU","","LE_120",""
"LE_320","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9BAFC2A87FA05E053A162500AB492","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Aspiro AB","","C8B9BAFC2A87FA05E053A162500AB492","US","US","HCM_PSU","","LE_320",""
"LE_501","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B00E7364D8ABE053A062500A891C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther Ltd.","","C8B9B00E7364D8ABE053A062500A891C","US","US","HCM_PSU","","LE_501",""
"LE_503","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B00E736AD8ABE053A062500A891C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Serviços de Entretenimento Ltda","","C8B9B00E736AD8ABE053A062500A891C","US","US","HCM_PSU","","LE_503",""
"LE_119","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B95832378FE77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Rising, LLC","","C8B95832378FE77AE053A062500AF1B1","US","US","HCM_PSU","","LE_119",""
"LE_121","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9853845FE8C96E053A162500A06BA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther US LLC (US)","","C8B9853845FE8C96E053A162500A06BA","US","US","HCM_PSU","","LE_121",""
"LE_305","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958323794E77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther Bidco Ltd","","C8B958323794E77AE053A062500AF1B1","US","US","HCM_PSU","","LE_305",""
